time_seconds,time_years,number_density,temperature,cr_rate,fuv_field,visual_extinction,C,C+,CO,CO+,E,H,H+,H2,H2O,H2O+,H3O+,HCO+,O,O+,OH,OH+
13554176604.789312,429.80012064907766,10000.0,50.0,1e-17,1.0,2.0,8.12803526049646e-05,1.5592877680218124e-05,3.1075975838730613e-06,1.905096678912469e-08,4.666207787117548e-05,1.0738632824588359,3.102905673395572e-05,0.4630496572212558,3.148655112898004e-06,8.55402317178486e-10,1.9224583337724792e-08,1.2116415494732834e-10,0.00019368692606138924,3.431421549142533e-10,1.6677784836738552e-08,5.481982475352055e-10
14031470906.701939,444.9350236777631,10000.0,50.0,1e-17,1.0,2.0,8.154230009905185e-05,1.5332788764522845e-05,3.1061782618093745e-06,1.8610560906417374e-08,4.7598737131371114e-05,1.0986275780024881,3.222662080375536e-05,0.4506669177969785,3.1419931733285326e-06,8.768500319084085e-10,1.8802007369621743e-08,1.223137093047257e-10,0.00019369554987015827,3.525861049239782e-10,1.695113160947065e-08,5.632449705219702e-10
14525572563.076624,460.60288442023796,10000.0,50.0,1e-17,1.0,2.0,8.180623939322358e-05,1.5070845817774994e-05,3.1046053488646815e-06,1.818599535068785e-08,4.857497325187417e-05,1.1235658221300193,3.346559903754696e-05,0.43819718387567047,3.134824983798775e-06,8.995305004849513e-10,1.8377533628712032e-08,1.2344478582578814e-10,0.00019370480599027151,3.626368473500261e-10,1.7235280511179267e-08,5.792554388942267e-10
15037073425.026815,476.8224703521948,10000.0,50.0,1e-17,1.0,2.0,8.207194510402143e-05,1.4807274171427209e-05,3.1028794430664138e-06,1.7776724533955983e-08,4.959238726217707e-05,1.1486548214097654,3.474736719893244e-05,0.42565205152848357,3.127106639938798e-06,9.235264654105016e-10,1.7951432357139956e-08,1.2455695072388596e-10,0.00019371473744318914,3.7334378645592316e-10,1.753058198660219e-08,5.963077234434735e-10
15566586185.003016,493.6132098237892,10000.0,50.0,1e-17,1.0,2.0,8.233918634458887e-05,1.4542308617869706e-05,3.1009971725531675e-06,1.7382215218674915e-08,5.065262801731941e-05,1.173870083974806,3.607333938743958e-05,0.41304376602980036,3.1187894640199536e-06,9.48926597580913e-10,1.7523971497124387e-08,1.2564976932573e-10,0.00019372539597066525,3.847612734992832e-10,1.7837380750038415e-08,6.144876536358666e-10
16114745110.695974,510.9952153315568,10000.0,50.0,1e-17,1.0,2.0,8.260772716500023e-05,1.4276192581616839e-05,3.0989515845858148e-06,1.7001945990023423e-08,5.17573912294341e-05,1.1991858416785053,3.744496789938803e-05,0.4003852107799171,3.10981962257856e-06,9.758258433563858e-10,1.7095414877121567e-08,1.267228068298111e-10,0.0001937368420309819,3.969491897505396e-10,1.81560134229876e-08,6.338897218916213e-10
16682206804.78308,528.9893076098135,10000.0,50.0,1e-17,1.0,2.0,8.28773271415155e-05,1.4009177223429318e-05,3.0967324528893362e-06,1.663540653635944e-08,5.29084182394721e-05,1.2245750812722254,3.8863742896060787e-05,0.3876898917168027,3.1001376843300948e-06,1.0043257633512965e-09,1.666602033565004e-08,1.2777562917037773e-10,0.00019374914493712462,4.0997360863059343e-10,1.8486805672481377e-08,6.546181086367156e-10
17269650991.42862,547.6170405704154,10000.0,50.0,1e-17,1.0,2.0,8.314774211118816e-05,1.3741520484426156e-05,3.0943264998176374e-06,1.6282096763756735e-08,5.410749449579362e-05,1.250009585198027,4.0331191838741396e-05,0.3749719169205282,3.089678118634887e-06,1.0345348525562177e-09,1.6236037810479607e-08,1.288078039841994e-10,0.00019376238314012357,4.239075490193812e-10,1.8830068796385597e-08,6.767878461011277e-10
17877781330.47969,566.9007271207411,10000.0,50.0,1e-17,1.0,2.0,8.341872504423805e-05,1.3473486078020836e-05,3.091717533072985e-06,1.5941525766132528e-08,5.535644770123968e-05,1.2754599825571384,4.184887864432192e-05,0.36224597113002627,3.0783687354572057e-06,1.066568828283086e-09,1.5805707425067406e-08,1.298189016787204e-10,0.00019377664465687548,4.388318338159306e-10,1.9186095695937418e-08,7.005261417635188e-10
18507326260.332714,586.8634658908142,10000.0,50.0,1e-17,1.0,2.0,8.36900270432448e-05,1.3205342438371878e-05,3.0888864992182813e-06,1.561321066818866e-08,5.665714558462218e-05,1.3008958107714539,4.3418402508651724e-05,0.34952728491354684,3.0661300686488247e-06,1.1005508686956634e-09,1.5375257608778967e-08,1.3080849660146264e-10,0.0001937920276383644,4.5483607023468e-10,1.9555156168699312e-08,7.259738857876915e-10
